,0,1,id,word,degree
507,0.07342978,1.3918372,1685,existe,472
508,-1.4118042,1.4155488,1485,avon,458
509,-0.72919196,0.19634113,1294,laisser,432
510,1.1174462,2.0963528,936,nature,561
511,0.27263433,1.1802135,2021,tel,435
512,-0.75182974,2.2471774,28,devoir,574
513,1.420379,1.3029288,2516,bénéficiaire,546
514,-0.88105726,3.2057934,1119,étude,458
515,-0.43044025,1.4154468,1280,meilleure,701
516,-0.9430765,0.4569733,1168,face,421
517,1.2740465,-2.1766028,1953,indemnité,725
518,1.0316982,3.0020175,1143,plafond,641
519,-0.5688333,0.9173692,192,impact,500
520,-1.6370593,1.5446655,4186,pourtant,387
521,1.5381027,-2.4724312,1195,train,517
522,-0.70986325,1.5320464,1696,majorité,473
523,0.24511792,-1.7026252,2444,meme,770
524,1.3811221,1.5111322,152,nombreuse,520
525,-1.6465563,-1.7778554,3066,interdire,580
526,0.59526527,-0.6441792,1765,caisse,428
527,2.7901187,1.3744073,351,foncier,644
528,4.466477,0.27444148,1207,fort,479
529,-1.0346061,1.3883277,2627,agit,482
530,1.2085794,2.8111854,935,remplacer,616
531,1.4901013,2.765927,2373,irpp,814
532,-1.4420264,-1.1583601,2855,lois,447
533,2.6873028,-0.34469023,1437,travaux,405
534,1.477751,1.3557793,111,abattement,682
535,3.7379797,-1.4199803,960,carburant,581
536,1.0717186,0.12801564,2548,tpe,640
537,1.6433661,0.04990417,511,développement,434
538,1.5358336,0.7419773,539,directement,424
539,2.2644894,-0.97770894,1479,école,495
540,1.7477578,-1.0725435,3424,lorsqu,408
541,2.7024682,1.080142,129,principale,613
542,3.064765,0.28477833,2634,ville,426
543,-0.17888327,1.3899499,246,répartition,705
544,1.9038558,-0.13459079,2095,recherche,460
545,-0.4687879,2.4910622,818,nation,459
546,-0.24033457,2.7861972,286,seuls,557
547,1.9721631,0.71054024,4434,perte,423
548,-0.61066145,2.063944,765,équité,576
549,0.61198103,2.6512706,126,exception,727
550,-0.8821216,-1.4752944,3438,grâce,481
551,2.417302,2.5899868,725,rsa,715
552,-1.673288,1.6846244,1986,sinon,403
